,Suburb,Address,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname
1,Abbotsford,85 Turner St,2,h,1480000.0,2.5,3067,1,1,202,Yarra City Council,-37.7996,144.9984,Northern Metropolitan
2,Abbotsford,25 Bloomburg St,2,h,1035000.0,2.5,3067,1,0,156,Yarra City Council,-37.8079,144.9934,Northern Metropolitan
4,Abbotsford,5 Charles St,3,h,1465000.0,2.5,3067,2,0,134,Yarra City Council,-37.8093,144.9944,Northern Metropolitan
5,Abbotsford,40 Federation La,3,h,850000.0,2.5,3067,2,1,94,Yarra City Council,-37.7969,144.9969,Northern Metropolitan
6,Abbotsford,55a Park St,4,h,1600000.0,2.5,3067,1,2,120,Yarra City Council,-37.8072,144.9941,Northern Metropolitan
10,Abbotsford,129 Charles St,2,h,941000.0,2.5,3067,1,0,181,Yarra City Council,-37.8041,144.9953,Northern Metropolitan
11,Abbotsford,124 Yarra St,3,h,1876000.0,2.5,3067,2,0,245,Yarra City Council,-37.8024,144.9993,Northern Metropolitan
14,Abbotsford,98 Charles St,2,h,1636000.0,2.5,3067,1,2,256,Yarra City Council,-37.806,144.9954,Northern Metropolitan
17,Abbotsford,6/241 Nicholson St,1,u,300000.0,2.5,3067,1,1,0,Yarra City Council,-37.8008,144.9973,Northern Metropolitan
18,Abbotsford,10 Valiant St,2,h,1097000.0,2.5,3067,1,2,220,Yarra City Council,-37.801,144.9989,Northern Metropolitan
23,Abbotsford,411/8 Grosvenor St,2,u,700000.0,2.5,3067,2,1,0,Yarra City Council,-37.811,145.0067,Northern Metropolitan
24,Abbotsford,40 Nicholson St,3,h,1350000.0,2.5,3067,2,2,214,Yarra City Council,-37.8085,144.9964,Northern Metropolitan
25,Abbotsford,123/56 Nicholson St,2,u,750000.0,2.5,3067,2,1,0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan
28,Abbotsford,45 William St,2,h,1172500.0,2.5,3067,1,1,195,Yarra City Council,-37.8084,144.9973,Northern Metropolitan
29,Abbotsford,7/20 Abbotsford St,1,u,441000.0,2.5,3067,1,1,0,Yarra City Council,-37.8016,144.9988,Northern Metropolitan
30,Abbotsford,16 William St,2,h,1310000.0,2.5,3067,1,2,238,Yarra City Council,-37.809,144.9976,Northern Metropolitan
32,Abbotsford,42 Henry St,3,h,1200000.0,2.5,3067,2,1,113,Yarra City Council,-37.8056,144.993,Northern Metropolitan
35,Abbotsford,78 Yarra St,3,h,1176500.0,2.5,3067,1,1,138,Yarra City Council,-37.8021,144.9965,Northern Metropolitan
36,Abbotsford,196 Nicholson St,3,h,955000.0,2.5,3067,1,0,183,Yarra City Council,-37.8022,144.9975,Northern Metropolitan
37,Abbotsford,42 Valiant St,2,h,890000.0,2.5,3067,1,1,150,Yarra City Council,-37.8011,145.0004,Northern Metropolitan
38,Abbotsford,3/72 Charles St,4,h,1330000.0,2.5,3067,2,2,780,Yarra City Council,-37.8073,144.9952,Northern Metropolitan
40,Abbotsford,13/11 Nicholson St,3,t,900000.0,2.5,3067,2,2,0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan
41,Abbotsford,138/56 Nicholson St,3,u,1090000.0,2.5,3067,2,2,4290,Yarra City Council,-37.8078,144.9965,Northern Metropolitan
42,Abbotsford,6/219 Nicholson St,2,u,500000.0,2.5,3067,1,1,0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan
43,Abbotsford,52a William St,2,h,1100000.0,2.5,3067,2,1,124,Yarra City Council,-37.8079,144.9977,Northern Metropolitan
44,Abbotsford,49 Park St,2,h,1315000.0,2.5,3067,1,0,147,Yarra City Council,-37.808,144.994,Northern Metropolitan
48,Abbotsford,5/20 Abbotsford St,1,u,426000.0,2.5,3067,1,1,0,Yarra City Council,-37.8016,144.9988,Northern Metropolitan
