Suburb,Price,Rooms,Distance,Bathroom,Car,Landsize,BuildingArea,Propertycount,Postcode
Abbotsford,1033549.0,2.5,2.7,1.4,1.0,354.3,103.6,4019.0,3067
Aberfeldie,1307192.9,3.2,8.3,1.9,1.9,536.9,185.2,1543.0,3040
Airport West,751364.2,3.0,11.8,1.5,1.6,453.2,137.2,3464.0,3042
Albanvale,536055.6,3.1,14.0,1.5,2.2,527.8,127.4,1899.0,3021
Albert Park,1927650.5,2.9,3.2,1.6,0.8,198.2,136.9,3280.0,3206
Albion,615123.7,2.7,12.1,1.2,1.7,537.2,114.7,2185.0,3020
Alphington,1397532.3,3.2,6.1,1.7,1.9,499.8,149.4,2211.0,3078
Altona,884155.5,3.0,12.4,1.5,2.0,453.2,128.3,5301.0,3018
Altona Meadows,653557.7,3.3,15.5,1.7,2.5,514.2,151.8,7630.0,3028
Altona North,789713.3,3.1,10.4,1.4,2.4,532.0,163.9,5132.0,3025
Ardeer,627108.7,3.2,12.8,1.3,2.0,595.4,127.7,1281.0,3022
Armadale,1592298.0,2.6,6.3,1.5,1.4,353.0,129.9,4836.0,3143
Ascot Vale,1054411.8,2.9,5.1,1.5,1.5,399.0,153.4,6567.0,3032
Ashburton,1660385.3,3.3,10.7,1.9,2.1,623.8,212.0,3052.0,3147
Ashwood,1173156.8,3.3,11.4,1.7,1.9,606.0,169.2,2894.0,3147
Aspendale,1093392.9,3.3,21.5,1.8,2.2,611.5,152.4,2824.0,3195
Aspendale Gardens,919515.6,3.7,21.5,2.1,2.0,569.9,191.1,2243.0,3195
Attwood,807538.5,4.1,16.5,1.9,2.1,627.0,195.1,1130.0,3049
Avondale Heights,849459.5,3.3,10.0,1.5,1.8,564.5,152.9,4502.0,3034
Avonsleigh,,3.0,36.9,1.0,3.0,1008.0,108.0,335.0,3782
Bacchus Marsh,423000.0,2.8,37.5,1.5,1.8,845.7,129.0,2871.0,3340
Balaclava,820451.9,2.2,6.5,1.2,1.0,221.1,99.8,2952.0,3183
Balwyn,1893712.1,3.5,8.9,2.1,2.0,615.0,218.0,5682.0,3103
Balwyn North,1786108.8,3.7,9.4,2.0,2.0,933.2,220.9,7809.0,3104
Bayswater,740411.8,3.2,23.2,1.7,2.4,686.5,134.2,5030.0,3153
Bayswater North,740577.8,3.3,23.2,1.7,2.2,642.4,192.5,3598.0,3153
Beaconsfield,603500.0,3.2,39.0,1.7,1.3,569.7,173.5,2332.0,3807
Beaconsfield Upper,719500.0,3.5,39.8,2.0,2.0,1031.0,161.0,973.0,3808
Beaumaris,1624780.5,3.6,17.3,2.2,2.3,826.7,230.9,5366.0,3193
Belgrave,,4.0,30.4,2.0,2.0,1651.0,,1588.0,3160
